,icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
8002,800797,CB-8010,MCDONNELL DOUGLAS,Boeing,C-17A Globemaster III,C17,IN10,,L4J,Indian Air Force,INDIAN AIRFORCE,IFC,,Indian Air Force,,,,,,,,,False,False,False,,
8003,478537,LN-DYC,BOEING,Boeing,Boeing 737NG 8JP/W,B738,39164,,L2J,,NOR SHUTTLE,NAX,,Norwegian,,,,,,,,,False,False,False,,
8004,abda54,N863DN,BOEING,Boeing,737-932ER,B739,31975,,L2J,Delta Air Lines,DELTA,DAL,DL,Umb Bank Na Trustee,,,2028-12-31,,2016-01-01,,,CFM INTL CFM56-7B27E,False,False,False,,
8005,ae0266,57-1469,BOEING,Boeing,KC-135R,K35R,17540,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,,,,,,,False,False,False,,
8006,484361,P4-CLA,BOEING,Boeing,767 2DXER,B762,32954,,L2J,,,,,Comlux Aruba,,,,,,,,,False,False,False,,
8007,aba800,N850GT,BOEING,Boeing,747-87UF,B748,37570,,L4J,,GIANT,GTI,,Atlas Air Inc,,,2028-05-31,,2012-01-01,,,GE GENX SERIES,False,False,False,,
8008,76cef0,9V-SWP,BOEING,Boeing,777 312ER,B77W,34581,,L2J,,SINGAPORE,SIA,,Singapore Airlines,,,,,,,,,False,False,False,,
8009,750260,9M-MTM,AIRBUS,Airbus,A330 323E,A333,1431,,L2J,,MALAYSIAN,MAS,,Malaysia Airlines,,,,,,,,,False,False,False,,
8010,8a044f,PK-GNN,BOEING,Boeing,737NG 86N/W,B738,41270,,L2J,,INDONESIA,GIA,,Garuda Indonesia,,,,,,,,,False,False,False,,
8011,4d232c,9H-TJE,BOEING,Boeing,737-85R(WL),B738,35106 / 2530,,L2J,Corendon Airlines Europe,TOURISTIC,CXI,XR,,,,,,,,,,False,False,False,,
8012,ac41bf,N8891,,Airbus,A320-214,,8891,,,,,,,Bank Of Utah Trustee,,,2030-04-30,,,,,,False,False,False,,
8013,c8196a,ZK-JTQ,BOEING,Boeing,737 476,B734,24442,,L2J,,,,,Toll Priority,,,,,,,,,False,False,False,,
8014,71c034,HL8034,BOEING,Boeing,737NG 8HX/W,B738,38101,,L2J,,JEJU AIR,JJA,,Jeju Air,,,,,,,,,False,False,False,,
8015,a4095f,N35953,BOEING,Boeing,787-9,B789,36404,,L2J,,UNITED,UAL,,United Airlines Inc,,,2028-03-31,,2015-01-01,,,GE GENX-1B75/P2,False,False,False,,
8016,8963e8,A6-EOK,AIRBUS,Airbus,A380 861,A388,184,,L4J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,False,False,False,,
8017,800bc4,VT-ITP,AIRBUS,Airbus,A320 271NSL,A20N,7331,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,False,False,False,,
8018,4d03cd,LX-N90455,BOEING,Boeing,E-3A Sentry,E3TF,22850,,L4J,,,,,Nato,,,,,,,,,False,False,False,,Reserved
8019,7583e7,RP-C4106,AIRBUS,Airbus,A320 214SL,A320,6925,,L2J,,CEBU AIR,CEB,,Cebu Pacific Air,,,,,,,,,False,False,False,,
