,icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
0,80078e,CB-8001,MCDONNELL DOUGLAS,Boeing,C-17A Globemaster III,C17,IN1,,L4J,Indian Air Force,INDIAN AIRFORCE,IFC,,Indian Air Force,,,,,,,,,False,False,False,,
1,06a0d6,A7-MHH,AIRBUS,Airbus,ACJ319 115X,A319,3994,,L2J,Qatar Executive,,QQE,,Qatar Executive,D-AVYR,2011-05-28,,,2009-01-01,,,,False,False,False,,Large (75000 to 300000 lbs)
2,800737,VT-ANQ,BOEING,Boeing,787 8,B788,36288,,L2J,,AIRINDIA,AIC,,Air India,,,,,,,,,False,False,False,,
3,aa7427,N77296,BOEING,Boeing,737-824,B738,34002,,L2J,,UNITED,UAL,,United Airlines Inc,,,2027-08-31,,2005-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,
4,78031c,B-5325,BOEING,Boeing,737NG 86N,B738,32692,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
5,728618,YI-APX,AIRBUS,Airbus,A300 B4-203,A30B,239,,L2J,,,,,Government Of Iraq,,,,,,,,,False,False,False,,
6,4783cf,LN-RNO,BOEING,Boeing,737NG 783,B737,28316,,L2J,,SCANDINAVIAN,SAS,,Scandinavian Airlines System,,,,,,,,,False,False,False,,
7,ae4d66,10-0213,MCDONNELL DOUGLAS,Boeing,C-17A Globemaster III,C17,P213,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,,,,,,,False,False,False,,Reserved
8,38ed18,F-WTTN,AIRBUS,Airbus,A330 941N,A339,1795,,L2J,,,,,Airbus Industries,,,,,,,,,False,False,False,,
9,a758f7,N57250,STEARMAN,Boeing,A75N1(PT17),ST75,75-2728,,L1P,,,,,Meister Mike,,,2028-04-30,,1941-01-01,,,CONT MOTOR W670 SERIES,False,False,False,,
10,00a51c,ZS-OAT,BOEING,Boeing,737 476,B734,28150,,L2J,,COMMERCIAL,CAW,,British Airways,,,,,,,,,False,False,False,,
11,4951d9,CS-TNY,AIRBUS,Airbus,A320 214,A320,4742,,L2J,Tap Portugal,AIR PORTUGAL,TAP,TP,Tap Portugal,,,,,2011-01-01,,,CFMI CFM56-5B4,False,False,False,,No ADS-B Emitter Category Information
12,861ed6,JA614A,BOEING,Boeing,767 381ER,B763,33508,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,False,False,False,,
13,880444,HS-ABD,AIRBUS,Airbus,A320 216,A320,3394,,L2J,,THAI ASIA,AIQ,,Thai Airasia,,,,,,,,,False,False,False,,
14,3944e1,F-GRHB,AIRBUS,Airbus,A319 111,A319,985,AF1085,L2J,Air France,AIRFRANS,AFR,AF,Air France,,,,,1999-03-18,1999-03-05,,2 x CFMI CFM56-5B5/3,False,False,False,,No ADS-B Emitter Category Information
15,71004b,HZ-AQB,AIRBUS,Airbus,A330 343E,A333,1127,,L2J,,SAUDIA,SVA,,Saudi Arabian Airlines,,,,,,,,,False,False,False,,
16,4ba869,TC-JCI,AIRBUS,Airbus,A330 243F,A332,1442,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,False,False,False,,
17,aabe77,N79124,STEARMAN,Boeing,A75L300,ST75,75-6444,,L1P,,,,,Bruzzi Michael D,,,2030-04-30,,1942-01-01,,,P&W R-985 SERIES,False,False,False,,
18,78085c,B-6859,AIRBUS,Airbus,A320 214,A320,5072,,L2J,Capital Airlines,CAPITAL DELTA,CPD,,Capital Airlines,,,,,,,,,False,False,False,,
19,4aca13,SE-RPS,BOEING,Boeing,737-8JP (W),B738,41143,5737,L2J,Norwegian Air Shuttle A.s. T/a Norwegian - Norway,NOR SHUTTLE,NAX,,Norwegian Air Sweden,,,,,,,,CFMI CFM56-7B26,False,False,False,,
20,8880a1,VN-A393,AIRBUS,Airbus,A321 231,A321,5340,,L2J,,VIET NAM AIRLINES,HVN,,Vietnam Airlines,,,,,,,,,False,False,False,,
21,7c6dde,VH-VZK,BOEING,Boeing,737-838,B738,,,L2J,Qantas,QANTAS,QFA,QF,Qantas Airways,,,,,,,,JET,False,False,False,,
22,8a0261,PK-LHO,BOEING,Boeing,737NG 9GPER/W,B739,37278,,L2J,,LION INTER,LNI,,Lion Air,,,,,,,,,False,False,False,,
23,a522f9,N43YP,STEARMAN,Boeing,E75,ST75,75-6018,,L1P,,,,,Vintage Aeroplane Collection #2 Inc,,,2029-04-30,,1942-01-01,,,P&W R1340 SERIES,False,False,False,,
24,780e97,B-6809,BOEING,Boeing,737NG 86N/W,B738,43409,,L2J,Lucky Air,LUCKY AIR,LKE,,Lucky Air,,,,,,,,,False,False,False,,
25,4a0927,YR-BAG,BOEING,Boeing,Boeing 737 5L9,B735,24778,,L2J,Blue Air,BLUE TRANSPORT,JOR,0B,Blue Air,,,,,,,,,False,False,False,,
26,a96e9e,N707AQ,,Boeing,737-484,,25361,,,,,,,Frontera Flight Holdings Inc,,,2029-12-31,,,,,,False,False,False,,
27,c04fff,C-GEHQ,BOEING,Boeing,737-8 MAX,B38M,61226 / 7380,,L2J,Air Canada,AIR CANADA,ACA,AC,,,,,,,,,,False,False,False,,
28,aa77ec,N774AJ,BOEING,Boeing,777-3FXER,B77W,34599,,L2J,,,,,Bank Of Utah Trustee,,,2029-11-30,,,,,,False,False,False,,
29,a0a332,N140FE,BOEING,Boeing,767-300F,B763,43541,,L2J,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2029-09-30,,2016-01-01,,,GE CF6-80C2B6F,False,False,False,,
30,800448,VT-AXW,BOEING,Boeing,737NG 8HG/W,B738,36334,,L2J,,EXPRESS INDIA,AXB,,Air India Express,,,,,,,,,False,False,False,,
31,aceff0,N9323Z,BOEING,Boeing,B-17G,B17,44-83514,,L4P,,,,,American Airpower Heritage Fly Museu,,,2028-04-30,,1944-01-01,,,WRIGHT R-1820 SER,False,False,False,,
32,42425a,VP-BYC,BOEING,Boeing,757 231,B752,30338,,L2J,,,,,Azur Air,,,,,,,,,False,False,False,,
33,344211,EC-LQP,AIRBUS,Airbus,A330 243,A332,526,,L2J,,EUROPA,AEA,,Air Europa,,,,,,,,,False,False,False,,
34,7800ea,B-6199,AIRBUS,Airbus,A319 112,A319,2644,,L2J,Capital Airlines,CAPITAL DELTA,CPD,,Capital Airlines,,,,,,,,,False,False,False,,
35,01001d,SU-GCL,AIRBUS,Airbus,A320-232,A320,322,,L2J,Egyptair,EGYPTAIR,MSR,MS,,F-WWBL,2016-01-04,2017-01-01,,1992-01-01,,,,False,False,False,,
36,7580ef,RP-C7775,BOEING,Boeing,777 3F6ER,B77W,35555,,L2J,,PHILIPPINE,PAL,,Philippine Airlines,,,,,,,,,False,False,False,,
37,7c6bb9,VH-VKB,BOEING,Boeing,787 8,B788,36228,,L2J,,JETSTAR,JST,,Jetstar Airways,,,,,,,,,False,False,False,,
38,e492cf,PR-OBH,AIRBUS,Airbus,A320 251NSL,A20N,7484,,L2J,,OCEANAIR,ONE,,Avianca Brasil,,,,,,,,,False,False,False,,
39,7cf8f3,A30-004,BOEING,Boeing,E-7A Wedgetail,E737,33477,1885,L2J,Royal Australian Air Force,AUSSIE,ASY,,Royal Australian Air Force,,,,,,,,2 x CFM International CFM56-7B27A,False,False,False,,Reserved
40,89406e,A9C-AM,AIRBUS,Airbus,Airbus A320 214,A320,4827,,L2J,,GULF AIR,GFA,,Gulf Air,,,,,,,,,False,False,False,,
41,a2b133,N27266,BOEING,Boeing,737-8,B38M,66597,,L2J,,,,,Wilmington Trust Co Trustee,,,2028-12-31,,2021-01-01,,,CFM INTL LEAP-1B28 SER,False,False,False,,
42,780ff3,B-7976,BOEING,Boeing,737NG 85N/W,B738,61428,,L2J,,SHANDONG,CDG,,Shandong Airlines,,,,,,,,,False,False,False,,
43,424371,VP-BYX,BOEING,Boeing,737NG 8Q8/W,B738,41808,,L2J,Nordwind Airlines,NORDLAND,NWS,,Nordwind Airlines,,,,,,,,,False,False,False,,
44,a0a957,N1414M,STEARMAN,Boeing,E75,ST75,75-5230,,L1P,,,,,Allen Willis M,,,2029-05-31,,,,,LYCOMING R680-4P-B4,False,False,False,,
45,48435b,P4-KCU,BOEING,Boeing,757 23N/W,B752,27971,,L2J,,ASTANALINE,KZR,,Air Astana,,,,,,,,,False,False,False,,
46,a8de7d,N6703D,BOEING,Boeing,757-232,B752,30234,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-06-30,,2000-01-01,,,P & W PW2037,False,False,False,,
47,040002,ET-AJX,BOEING,Boeing,757 260F,B752,25014,,L2J,,ETHIOPIAN,ETH,,Ethiopian Airlines,,,,,,,,,False,False,False,,
48,4d2347,9H-VUH,BOEING,Boeing,737 MAX 8,B38M,,,L2J,Ryanair,RYANAIR,RYR,FR,,,,,,,,,,False,False,False,,
49,abd69d,N862DN,BOEING,Boeing,737-932ER,B739,31972,,L2J,Delta Air Lines,DELTA,DAL,DL,Wells Fargo Trust Co Na Trustee,,,2029-07-31,,2016-01-01,,,CFM INTL CFM56-7B27E,False,False,False,,
50,7c6b12,VH-VFO,AIRBUS,Airbus,A320 232SL,A320,5631,,L2J,,JETSTAR,JST,,Jetstar Airways,,,,,,,,,False,False,False,,
51,aa3b0c,N75868,STEARMAN,Boeing,A75N1(PT17),ST75,75-5454,,L1P,,,,,Mitchell Thomas F Sr,,,2028-06-30,,,,,P&W R-985 SERIES,False,False,False,,
52,781174,B-1433,BOEING,Boeing,737NG 8EH/W,B738,40738,,L2J,,,FZA,,Fuzhou Airlines,,,,,,,,,False,False,False,,
53,42491e,VQ-BCM,AIRBUS,Airbus,Airbus A320 214,A320,3923,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,False,False,False,,
54,a06bd3,N126UW,AIRBUS,Airbus,A320-214,A320,4149,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2028-12-31,,2009-01-01,,,CFM INTL CFM56-5B4,False,False,False,,
55,8007b6,VT-GOL,AIRBUS,Airbus,A320 214SL,A320,5463,,L2J,,GOAIR,GOW,,Go Air,,,,,,,,,False,False,False,,
56,780bed,B-1937,BOEING,Boeing,737NG 87L/W,B738,37619,,L2J,,SHENZHEN AIR,CSZ,,Shenzhen Airlines,,,,,,,,,False,False,False,,
57,abfac6,N871HK,,Boeing,737-8,,67775,,,Southwest Airlines,SOUTHWEST,SWA,WN,Southwest Airlines Co,,,2029-11-30,,2022-01-01,,,CFM INTL LEAP-1B28 SER,False,False,False,,
58,8514f8,JA323J,BOEING,Boeing,737NG 846/W,B738,35352,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,False,False,False,,
59,e021c9,LV-BGI,AIRBUS,Airbus,A320 233,A320,1903,,L2J,,LAN AR,DSM,,Latam Argentina,,,,,,,,,False,False,False,,
60,89633b,A6-ANI,AIRBUS,Airbus,A320 214,A320,5017,,L2J,,ARABIA,ABY,,Air Arabia,,,,,,,,,False,False,False,,
61,780611,B-6642,AIRBUS,Airbus,A321 231,A321,4198,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,False,False,False,,
62,a68ad4,N520VL,AIRBUS,Airbus,A320-233,A320,5595,,L2J,,VOLARIS,VOI,,Bank Of Utah Trustee,,,2030-01-31,,2013-01-01,,,IAE V2527E-A5,False,False,False,,
63,740821,JY-BAA,BOEING,Boeing,787 8,B788,37983,,L2J,,JORDANIAN,RJA,,Royal Jordanian Airlines,,,,,,,,,False,False,False,,
64,a992d8,N716FD,AIRBUS,Airbus,A300 B4-622,A30B,358,,L2J,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2028-02-29,,,,,,False,False,False,,
65,4241ac,VP-CAC,AIRBUS,Airbus,A330 243 ACJ,A332,1053,,L2J,,,,,Constellation Aviation Services,,,,,,,,,False,False,False,,
66,3c664f,D-AIRO,AIRBUS,Airbus,A321 131,A321,563,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
67,4ba8e8,TC-JGH,BOEING,Boeing,Boeing 737NG 8F2/W,B738,34406,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,False,False,False,,
68,0c20cf,HP-1855CMP,BOEING,Boeing,737NG 800/W,B738,44157,,L2J,,COPA,CMP,,Copa Airlines,,,,,,,,,False,False,False,,
69,3c66b5,D-AIUU,AIRBUS,Airbus,Airbus A320 214SL,A320,7158,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
70,aa1a1d,N750AV,AIRBUS,Airbus,A320-214,A320,7120,,L2J,, S.A.,AVA,,Navigator Aviation Ii Msn 7120 Trust,,,2029-12-31,,2016-01-01,,,CFM INTL CFM56-5B4/3,False,False,False,,
71,800626,VT-IED,AIRBUS,Airbus,A320 232,A320,4630,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,False,False,False,,
72,a43ec9,N37287,BOEING,Boeing,737-824,B738,31636,,L2J,,UNITED,UAL,,United Airlines Inc,,,2028-07-31,,2004-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,
73,800b45,VT-BDA,BOEING,Boeing,757 25FPCF,B752,28718,,L2J,Blue Dart Aviation,BLUE DART,BDA,BZ,Blue Dart Aviation,,,,,,,,,False,False,False,,
74,a36b08,N3193G,BOEING,Boeing,B-17G,B17,77255,,L4P,,,,,Yankee Air Force Inc,,,2027-12-31,,1944-01-01,,,WRIGHT R-1820 SER,False,False,False,,
75,4692da,SX-DVZ,AIRBUS,Airbus,A321 231,A321,3820,,L2J,,AEGEAN,AEE,,Aegean Airlines,,,,,,,,,False,False,False,,
76,ae145c,06-6158,MCDONNELL DOUGLAS,Boeing,C-17A Globemaster III,C17,P158,,L4J,United States Air Force,AIR CHIEF,AIO,1T,United States Air Force,,,,,,,,,False,False,False,,Reserved
77,7503fa,9M-LNZ,BOEING,Boeing,737NG 8GP/W,B738,38303,,L2J,,Malindo,MXD,,Malindo Air,,,,,,,,,False,False,False,,
78,7804bf,B-5397,BOEING,Boeing,737NG 89L/W,B738,36489,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
79,7816bd,B-308P,AIRBUS,Airbus,A330-200F,A332,1386,,L2J,Sichuan Airlines,SI CHUAN,CSC,3U,Boc Aviation,,,,,2013-01-31,2013-01-31,,RR Trent 772B-60,False,False,False,,
80,ac50fa,N893FD,BOEING,Boeing,777F,B77L,41736,,L2J,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2029-08-31,,2019-01-01,,,GE GE90-110B1,False,False,False,,
81,80000e,VT-ESB,AIRBUS,Airbus,A320 231,A320,398,,L2J,,AIRINDIA,AIC,,Air India,,,,,,,,,False,False,False,,
82,800794,CB-8007,MCDONNELL DOUGLAS,Boeing,C-17A Globemaster III,C17,IN7,,L4J,Indian Air Force,INDIAN AIRFORCE,IFC,,Indian Air Force,,,,,,,,,False,False,False,,
83,8880e8,VN-A650,AIRBUS,Airbus,A320 214SL,A320,6457,,L2J,,VIETJETAIR,VJC,,Vietjetair,,,,,,,,,False,False,False,,
84,80071c,VT-IFG,AIRBUS,Airbus,A320 232,A320,5411,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,False,False,False,,
85,a129d9,N174UP,AIRBUS,Airbus,A300 F4-622R,A306,0869,,L2J,United Parcel Service,UPS,UPS,5X,United Parcel Service Co,,,2028-05-31,,2006-01-01,,,P & W PW4158,False,False,False,,
86,ad0538,N938UW,BOEING,Boeing,757-2B7,B752,27246,,L2J,,AMERICAN,AAL,,Bischoff Aerospace Inc,,,2029-08-31,,1994-01-01,,,ROLLS-ROYC RB-211 SERIES,False,False,False,,
87,471f8b,HA-LYP,AIRBUS,Airbus,A320 232SL,A320,6589,,L2J,,WIZZ AIR,WZZ,,Wizz Air,,,,,,,,,False,False,False,,
88,ad2aa1,N9478H,STEARMAN,Boeing,B75N1,ST75,75-6833,,L1P,,,,,3g Classic Aviation Inc,,,2028-12-31,,1943-01-01,,,JACOBS R-755A2,False,False,False,,
89,394c04,F-GTAE,AIRBUS,Airbus,A321 212,A321,796,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,False,False,False,,
90,7bb11e,B-5097,BOEING,Boeing,737NG 79P/W,B737,29364,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,False,False,False,,
91,a890c7,N651DL,BOEING,Boeing,757-232,B752,24391,,L2J,Delta Air Lines,DELTA,DAL,DL,Bank Of Utah Trustee,,,2029-04-30,,1989-01-01,,,P & W PW2037,False,False,False,,High Vortex Large (aircraft such as B-757)
92,706027,9K-AKG,AIRBUS,Airbus,A320 214SL,A320,6458,,L2J,,KUWAITI,KAC,,Kuwait Airways,,,,,,,,,False,False,False,,
93,710051,HZ-AQH,AIRBUS,Airbus,A330 343E,A333,1189,,L2J,,SAUDIA,SVA,,Saudi Arabian Airlines,,,,,,,,,False,False,False,,
94,4d2280,9H-QBE,BOEING,Boeing,Boeing 737-8AS (W),B738,61577,5474,L2J,Ryanair,RYANAIR,RYR,FR,Ryanair,,,,,,,,CFMI CFM56-7B26,False,False,False,,
95,abe40a,N8652B,BOEING,Boeing,737-8H4,B738,36971,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2027-11-30,,2014-01-01,,,CFM INTL CFM56-7B27E,False,False,False,,
96,601846,EZ-A011,BOEING,Boeing,757 22K,B752,28336,,L2J,,TURKMENISTAN,TUA,,Turkmenistan Airlines,,,,,,,,,False,False,False,,
97,7811f3,B-1492,BOEING,Boeing,737NG 800/W,B738,60693,,L2J,,HAINAN,CHH,,Hainan Airlines,,,,,,,,,False,False,False,,
98,a44600,N3747M,STEARMAN,Boeing,PT-17,ST75,75-4298,,L1P,,,,,Carpenter William R,,,2029-04-30,,1942-01-01,,,LYCOMING R680E SERIES,False,False,False,,
99,750213,9M-MSD,BOEING,Boeing,737NG 8H6/W,B738,40146,,L2J,,MALAYSIAN,MAS,,Malaysia Airlines,,,,,,,,,False,False,False,,
100,7c6de4,VH-VZQ,BOEING,Boeing,737-838,B738,39357,,L2J,Qantas,QANTAS,QFA,QF,Qantas Airways Ltd,,2018-11-12,,,2011-01-01,,,,False,False,False,,
101,0d09e7,3527,BOEING,Boeing,737NG 800/W,B738,63324,,L2J,,,,,Mexican Air Force,,,,,,,,,False,False,False,,
102,acb285,N917UY,AIRBUS,Airbus,A321-231,A321,6427,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2028-12-31,,2015-01-01,,,IAE V2533-A5,False,False,False,,
103,a86107,N639VA,AIRBUS,Airbus,A320-214,A320,3016,,L2J,,REDWOOD,VRD,,Wells Fargo Trust Co Na Trustee,,,2028-02-29,,2007-01-01,,,CFM INTL CFM56-5B4,False,False,False,,
104,a70dfc,N55376,STEARMAN,Boeing,A75N1(PT17),ST75,75-2061,,L1P,,,,,Thompson Richard B,,,2029-01-31,,1940-01-01,,,LYCOMING R680E SERIES,False,False,False,,
105,009994,ZS-JRF,BOEING,Boeing,737 4L7C,B734,26961,,L2J,Safair,CARGO,SFR,FA,Safair,,,,,,,,,False,False,False,,
106,78008a,B-6342,AIRBUS,Airbus,A321 231,A321,3459,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,False,False,False,,
107,3c70c3,D-ALFC,BOEING,Boeing,777 FBT,B77L,41676,,L2J,,LUFTHANSA CARGO,GEC,,Lufthansa Cargo Airlines,,,,,,,,,False,False,False,,
108,424260,VP-BRS,AIRBUS,Airbus,A321 231,A321,1843,,L2J,,AIR RED,RWZ,,Red Wings Airlines,,,,,,,,,False,False,False,,
109,88804e,VN-A353,AIRBUS,Airbus,A321 231,A321,3022,,L2J,,VIET NAM AIRLINES,HVN,,Vietnam Airlines,,,,,,,,,False,False,False,,
110,7800f0,B-6123,AIRBUS,Airbus,Airbus A330 243,A332,735,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,False,False,False,,
111,3c6572,D-AIKR,AIRBUS,Airbus,A330 343E,A333,1314,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,False,False,False,,
112,780f93,B-7633,BOEING,Boeing,737NG 89P/W,B738,41583,,L2J,,SHANGHAI AIR,CSH,,Shanghai Airlines,,,,,,,,,False,False,False,,
113,a4460d,N37470,BOEING,Boeing,737-924ER,B739,37099,,L2J,,UNITED,UAL,,United Airlines Inc,,,2029-03-31,,2013-01-01,,,CFM INTL CFM56-7B27E,False,False,False,,
114,894074,A9C-CA,AIRBUS,Airbus,A321 231,A321,5025,,L2J,,GULF AIR,GFA,,Gulf Air,,,,,,,,,False,False,False,,
115,aa0308,N744ST,BOEING,Boeing,747 446BCF,B744,25308,,L4J,,,,,Global Super Tanker Services,,,,,,,,,False,False,False,,
116,7802cb,B-6301,AIRBUS,Airbus,A320 214,A320,2939,,L2J,,AIR SPRING,CQH,,Spring Airlines,,,,,,,,,False,False,False,,
117,780658,B-5525,BOEING,Boeing,737NG 86N,B738,37886,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
118,3c60d7,D-AHFW,BOEING,Boeing,Boeing 737NG 8K5/W,B738,30882,,L2J,,,TUI,,Tuifly,,,,,,,,,False,False,False,,
119,00b06c,ZS-SID,BOEING,Boeing,737 244F,B732,22583,,L2J,,SPRINGBOK,SAA,,South African Airways,,,,,,,,,False,False,False,,
120,ad63a1,N962AN,BOEING,Boeing,737-823,B738,30858,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2030-04-30,,2001-01-01,,,CFM INTL. CFM56 SERIES,False,False,False,,
121,7c6c54,VH-VOM,BOEING,Boeing,737NG 8FE/W,B738,33794,,L2J,,VIRGIN,VOZ,,Virgin Australia,,,,,,,,,False,False,False,,
122,c07fb9,C-GWJO,BOEING,Boeing,737-7CT (Boeing),B737,33969,,L2J,,WESTJET,WJA,,Westjet,,2004-06-28,,,,,,,False,False,False,,
123,347307,EC-NUZ,BOEING,Boeing,737-8GP,B738,39866,5513,L2J,Air Europa,EUROPA,AEA,UX,Aeronova,,2020-07-08,,,2015-06-23,2015-07-23,,CFMI CFM56-7B26E,False,False,False,,
124,49d2fc,OK-TSC,BOEING,Boeing,Boeing 737NG 8FH/W,B738,35093,,L2J,,SKYTRAVEL,TVS,,Travel Service Airlines,,,,,,,,,False,False,False,,
125,a9a90b,N721UF,BOEING,Boeing,Boeing 737NG 7BC/W BBJ,B737,30327,,L2J,,,,,F & L Aviation Iii Llc,,,,,,,,,False,False,False,,
126,8a02f5,PK-CLA,BOEING,Boeing,737NG 86N/W,B738,28591,,L2J,,SRIWIJAYA,SJY,,Sriwijaya Air,,,,,,,,,False,False,False,,
127,a5e209,N4786N,STEARMAN,Boeing,A75N1(PT17),ST75,75-3293,,L1P,,,,,Cplane Aviation Llc,,,2028-07-31,,,,,,False,False,False,,
128,ae10bf,01-0196,MCDONNELL DOUGLAS,Boeing,Boeing C-17A Globemaster III,C17,P96,,L4J,,,,,Usaf  	wv Ang | 167aw | 167as [kmrb],,,,,,,,,False,False,False,,Reserved
129,a865e3,N640GT,BOEING,Boeing,767-3S1,B763,25221,,L2J,,GIANT,GTI,,Atlas Air Inc,,,2027-08-31,,1990-01-01,,,GE CF6-80C2B6F,False,False,False,,No ADS-B Emitter Category Information
130,4bbca1,TC-OEA,AIRBUS,Airbus,A321 231,A321,771,,L2J,,ONUR AIR,OHY,,Onur Air,,,,,,,,,False,False,False,,
131,a06db4,N127AA,AIRBUS,Airbus,A321-231,A321,6334,,L2J,,AMERICAN,AAL,,Bank Of Utah Trustee,,,2028-01-31,,2014-01-01,,,IAE V2533-A5,False,False,False,,
132,896341,A6-ETM,BOEING,Boeing,777 3FXER,B77W,39688,,L2J,,ETIHAD,ETD,,Etihad Airways,,,,,,,,,False,False,False,,
133,885306,HS-TXF,AIRBUS,Airbus,A320 232,A320,5553,,L2J,Thai Smile Airways,THAI SMILE,,WE,Thai Smile,,,,,,,,,False,False,False,,
134,39cea3,F-HTVD,BOEING,Boeing,737NG 800/W,B738,62154,,L2J,,FRENCH SUN,TVF,,Transavia France,,,,,,,,,False,False,False,,
135,780dce,B-1501,BOEING,Boeing,737NG 84P/W,B738,41382,,L2J,,HAINAN,CHH,,Hainan Airlines,,,,,,,,,False,False,False,,
136,88085a,HS-BBZ,AIRBUS,Airbus,A320 251NSL,A20N,7508,,L2J,,THAI ASIA,AIQ,,Thai Airasia,,,,,,,,,False,False,False,,
137,a7e0ad,N60654,STEARMAN,Boeing,A75,ST75,75-886,,L1P,,,,,Serio James D,,,2029-06-30,,1941-01-01,,,CONT MOTOR W670 SERIES,False,False,False,,
138,ad285f,N947NK,AIRBUS,Airbus,A320-271N,A20N,10683,,L2J,,,,,Wilmington Trust Co Trustee,,,2028-11-30,,2021-01-01,,,IAE PW1127G-JM,False,False,False,,
139,a0c5ef,N149UP,AIRBUS,Airbus,A300 F4-622R,A306,832,,L2J,United Parcel Service,UPS,UPS,5X,United Parcel Service Co,,,2028-05-31,,2003-01-01,,,P & W PW4158,False,False,False,,
140,a87223,N643UA,BOEING,Boeing,767-322,B763,25093,,L2J,United Airlines,UNITED,UAL,UA,United Airlines Inc,,,2029-11-30,,1991-01-01,,,P&W PW4000 SER,False,False,False,,No ADS-B Emitter Category Information
141,424596,VQ-BSJ,AIRBUS,Airbus,Airbus A320 214SL,A320,6044,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,False,False,False,,
142,a67452,N515DE,AIRBUS,Airbus,A321-271NX,A21N,11141,,L2J,Delta Air Lines,DELTA,DAL,DL,Delta Air Lines Inc,,,2029-12-31,,,,,,False,False,False,,
143,8960f9,A6-EDX,AIRBUS,Airbus,Airbus A380 861,A388,105,,L4J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,False,False,False,,
144,ab3d41,N823NW,AIRBUS,Airbus,A330-302,A333,1628,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2029-03-31,,2015-01-01,,,GE CF6-80E1A4,False,False,False,,
145,345218,EC-MKL,BOEING,Boeing,737NG 85P/W,B738,60585,,L2J,Air Europa,EUROPA,AEA,UX,Air Europa,,,,,,,,,False,False,False,,Large (75000 to 300000 lbs)
146,a1fbb2,N227HA,AIRBUS,Airbus,A321-271N,A21N,9223,,L2J,,,,,Wilmington Trust Co Trustee,,,2027-09-30,,2019-01-01,,,IAE PW1133G-JM,False,False,False,,
147,7803ae,B-6512,AIRBUS,Airbus,A330 343E,A333,1087,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,False,False,False,,
148,502c2f,YL-BBE,BOEING,Boeing,737 53S,B735,29073,,L2J,,AIRBALTIC,BTI,,Air Baltic,,,,,,,,,False,False,False,,
149,020123,CN-RGU,BOEING,Boeing,787 8,B788,36109,,L2J,,ROYALAIR MAROC,RAM,,Royal Air Maroc,,,,,,,,,False,False,False,,
150,adc0e8,N9856G,STEARMAN,Boeing,Stearman A75N1 PT-17 Kaydet,ST75,75-3157,,L1P,,,,,Private,,,,,,,,,False,False,False,,
151,396668,F-GZTI,BOEING,Boeing,737 408SF,B734,25063,,L2J,,,,,Asl Airlines France,,,,,,,,,False,False,False,,
152,3443d2,EC-LUO,AIRBUS,Airbus,A320 232SL,A320,5530,,L2J,,VUELING,VLG,,Vueling Airlines,,,,,,,,,False,False,False,,
153,40065a,G-BIKO,BOEING,Boeing,Boeing 757 236F,B752,22187,,L2J,Dhl Air,WORLD EXPRESS,DHK,,Dhl Air,,,,,,,,,False,False,False,,
